日期,外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
8-23,"201,000","-201,000",0,0,0,0,0,0,"-3,085",0,0,0,"87,000","90,085","-3,085","-204,085"
8-24,"1,000","13,000",0,0,0,0,0,0,"-5,592",0,0,0,"9,408","15,000","-5,592","7,408"
8-25,"30,000","-29,000",0,0,0,0,0,0,"-13,769",0,0,0,231,"14,000","-13,769","-42,769"
8-28,0,0,0,0,0,0,0,0,"-4,429",0,0,0,"12,571","17,000","-4,429","-4,429"
8-29,0,"164,000",0,0,0,0,0,0,"30,715",0,0,0,"66,715","36,000","30,715","194,715"
8-30,0,"89,000",0,0,0,0,0,0,"68,572",0,0,0,"135,572","67,000","68,572","157,572"
8-31,0,"56,000",0,0,0,0,0,0,"-25,351",0,0,0,"105,649","131,000","-25,351","30,649"
9-1,"4,000","-4,000",0,0,0,0,0,0,"-2,212",0,0,0,"20,788","23,000","-2,212","-6,212"
9-4,"2,000","-2,000",0,0,0,0,0,0,"-1,933",0,0,0,"27,067","29,000","-1,933","-3,933"
9-5,"1,000","38,000",0,0,0,0,0,0,"-11,051",0,0,0,"82,025","93,076","-11,051","26,949"
9-6,0,"1,000",0,0,0,0,0,0,"-2,374",0,0,0,"36,626","39,000","-2,374","-1,374"
9-7,0,"8,000",0,0,0,0,0,0,"7,643",0,0,0,"9,643","2,000","7,643","15,643"
9-8,"1,000","-1,000",0,0,0,0,0,0,"-14,778",0,0,0,"1,084","15,862","-14,778","-15,778"
9-11,"68,000","-68,000",0,0,0,0,0,0,"56,235",0,0,0,"81,235","25,000","56,235","-11,765"
9-12,"3,000","-3,000",0,0,0,0,0,0,"-1,000",0,0,0,"4,000","5,000","-1,000","-4,000"
9-13,"79,000","-79,000",0,0,0,0,0,0,"45,010",0,0,0,"100,010","55,000","45,010","-33,990"
9-14,"153,000","-152,000",0,0,0,0,0,0,"122,126",0,0,0,"133,126","11,000","122,126","-29,874"
9-15,0,"8,000",0,0,0,0,0,0,"16,432",0,0,0,"16,432",0,"16,432","24,432"
9-18,"94,000","-94,000",0,0,0,0,0,0,"-233,029",0,0,0,"63,000","296,029","-233,029","-327,029"
9-19,"5,000","-5,000",0,0,0,0,0,0,"-3,880",0,0,0,"6,120","10,000","-3,880","-8,880"
9-20,"2,000","-1,900",0,0,0,0,0,0,"-16,987",0,0,0,"6,013","23,000","-16,987","-18,887"
9-21,"1,000","-1,000",0,0,0,0,0,0,"-14,284",0,0,0,"31,000","45,284","-14,284","-15,284"
9-22,0,0,0,0,0,0,0,0,"-8,907",0,0,0,"5,093","14,000","-8,907","-8,907"
9-25,"2,000","-1,000",0,0,0,0,0,0,"-4,012",0,0,0,"81,000","85,012","-4,012","-5,012"
9-26,"5,000","-5,000",0,0,0,0,0,0,"-16,007",0,0,0,"5,000","21,007","-16,007","-21,007"
9-27,"1,000","-1,000",0,0,0,0,0,0,0,0,0,0,"10,000","10,000",0,"-1,000"
9-28,"54,000","-54,000",0,0,0,0,0,0,"-357,011",0,0,0,"333,028","690,039","-357,011","-411,011"
10-2,0,"8,000",0,0,0,0,0,0,"-11,165",0,0,0,"4,121","15,286","-11,165","-3,165"
10-3,"3,000","-2,000",0,0,0,0,0,0,"-14,138",0,0,0,"5,000","19,138","-14,138","-16,138"
10-4,0,"24,000",0,0,0,0,0,0,"-63,000",0,0,0,"177,000","240,000","-63,000","-39,000"
10-5,0,"257,000",0,0,0,0,0,0,"-271,452",0,0,0,"152,000","423,452","-271,452","-14,452"
10-6,"6,000","-6,000",0,0,0,0,0,0,"-44,029",0,0,0,"67,000","111,029","-44,029","-50,029"
10-11,0,"1,000",0,0,0,0,0,0,"5,957",0,0,0,"54,815","48,858","5,957","6,957"
10-12,0,"3,000",0,0,0,0,0,0,"12,000",0,0,0,"14,000","2,000","12,000","15,000"
10-13,"3,000","-2,000",0,0,0,0,0,0,"-41,163",0,0,0,"31,000","72,163","-41,163","-43,163"
10-16,"5,000","-5,000",0,0,0,0,0,0,"-24,678",0,0,0,"198,322","223,000","-24,678","-29,678"
10-17,"31,000","-30,000",0,0,0,0,0,0,"42,094",0,0,0,"53,094","11,000","42,094","12,094"
10-18,0,0,0,0,0,0,0,0,"14,926",0,0,0,"116,215","101,289","14,926","14,926"
10-19,"3,000","-3,000",0,0,0,0,0,0,"-43,987",0,0,0,"99,013","143,000","-43,987","-46,987"
10-20,"36,000","-34,000",0,0,0,0,0,0,"38,120",0,0,0,"88,547","50,427","38,120","4,120"
10-23,"3,000","-3,000",0,0,0,0,0,0,"-57,495",0,0,0,"81,165","138,660","-57,495","-60,495"
10-24,"31,000","-30,000",0,0,0,0,0,0,"17,675",0,0,0,"41,001","23,326","17,675","-12,325"
10-25,0,0,0,0,0,0,0,0,"-25,535",0,0,0,"58,533","84,068","-25,535","-25,535"
10-26,"13,000","-13,000",0,0,0,0,0,0,"-35,877",0,0,0,"117,036","152,913","-35,877","-48,877"
10-27,0,"2,000",0,0,0,0,0,0,"3,991",0,0,0,"55,991","52,000","3,991","5,991"
10-30,"78,000","-78,000",0,0,0,0,0,0,"51,967",0,0,0,"127,033","75,066","51,967","-26,033"
10-31,"7,000","-4,000",0,0,0,0,0,0,"-23,095",0,0,0,"21,000","44,095","-23,095","-27,095"
11-1,"2,000","38,000",0,0,0,0,0,0,"-121,480",0,0,0,"2,520","124,000","-121,480","-83,480"
11-2,100,"5,900",0,0,0,0,0,0,"-101,004",0,0,0,"148,996","250,000","-101,004","-95,104"
11-3,0,"9,000",0,0,0,0,0,0,"-319,052",0,0,0,"7,021","326,073","-319,052","-310,052"
11-6,0,"5,000",0,0,0,0,0,0,"12,959",0,0,0,"15,959","3,000","12,959","17,959"
11-7,0,"1,000",0,0,0,0,0,0,"-97,673",0,0,0,"67,359","165,032","-97,673","-96,673"
11-8,"1,000","6,000",0,0,0,0,0,0,"1,463",0,0,0,"8,829","7,366","1,463","7,463"
11-9,"1,000",0,0,0,0,0,0,0,"12,694",0,0,0,"12,694",0,"12,694","12,694"
11-10,"31,000","-31,000",0,0,0,0,0,0,"32,939",0,0,0,"35,554","2,615","32,939","1,939"
11-13,"152,000","-152,000",0,0,0,0,0,0,"-238,663",0,0,0,"87,337","326,000","-238,663","-390,663"
11-14,0,"3,000",0,0,0,0,0,0,"11,241",0,0,0,"24,241","13,000","11,241","14,241"
11-15,"2,000","38,000",0,0,0,0,0,0,"267,440",0,0,0,"301,440","34,000","267,440","305,440"
11-16,0,"51,000",0,0,0,0,0,0,"-50,297",0,0,0,"66,703","117,000","-50,297",703
11-17,"1,000","-1,000",0,0,0,0,0,0,"9,270",0,0,0,"51,270","42,000","9,270","8,270"
11-20,0,"19,000",0,0,0,0,0,0,"-16,141",0,0,0,"10,232","26,373","-16,141","2,859"
11-21,0,"11,000",0,0,0,0,0,0,"21,699",0,0,0,"34,699","13,000","21,699","32,699"
11-22,"2,000","56,000",0,0,0,0,0,0,"-55,680",0,0,0,"109,320","165,000","-55,680",320
11-23,"1,000","101,000",0,0,0,0,0,0,"-69,533",0,0,0,"81,467","151,000","-69,533","31,467"
11-24,0,"57,000",0,0,0,0,0,0,"-47,969",0,0,0,"11,055","59,024","-47,969","9,031"
